timestamp,tenant,p50_min,p90_min,p99_min
2025-09-16 10:26:00+00:00,alpha,4.143377439023045,7.231974368614141,8.915910521797857
2025-09-16 10:27:00+00:00,alpha,4.071337914393634,7.3270059385348425,9.404620049890736
2025-09-16 10:28:00+00:00,alpha,4.056307792313899,6.9997953703581475,9.387787584695829
2025-09-16 10:29:00+00:00,alpha,3.86592250884632,6.878103838280729,9.167370040919854
2025-09-16 10:30:00+00:00,alpha,3.9517291382128352,7.1128915064933,9.260157769592817
2025-09-16 10:31:00+00:00,alpha,4.041758652612479,7.1283988999040915,8.593489805424271
2025-09-16 10:32:00+00:00,alpha,4.131885042445461,6.816447206874294,8.72043618052962
2025-09-16 10:33:00+00:00,alpha,4.025904250918004,7.235173733983976,9.130766970438232
2025-09-16 10:34:00+00:00,alpha,4.004938816990697,6.686411884176445,9.16714456421238
2025-09-16 10:35:00+00:00,alpha,4.102327849916626,7.269201925201777,9.227361284221056
2025-09-16 10:36:00+00:00,alpha,4.165705185234574,7.046543325499112,9.258955165755388
2025-09-16 10:37:00+00:00,alpha,4.080856497697761,7.11469952527384,9.220431288353987
2025-09-16 10:38:00+00:00,alpha,3.827394208399227,6.746201833916083,9.427488675617013
2025-09-16 10:39:00+00:00,alpha,4.000039513269112,7.214043993318159,8.712040431969378
2025-09-16 10:40:00+00:00,alpha,4.172197359600928,6.983134831593841,9.347586639954308
2025-09-16 10:41:00+00:00,alpha,3.9257740288924805,6.6526207210983355,8.848779286713818
2025-09-16 10:42:00+00:00,alpha,4.163308273449806,7.145234721963173,9.256633428790355
2025-09-16 10:43:00+00:00,alpha,4.174927540809445,6.812532397670446,9.346844837854714
2025-09-16 10:44:00+00:00,alpha,4.166480267899739,6.977986032161906,8.902150160774726
2025-09-16 10:45:00+00:00,alpha,4.122959571007461,6.663321657676461,9.178407865162777
2025-09-16 10:46:00+00:00,alpha,3.930878985705247,6.8289141019396755,8.734615324250353
2025-09-16 10:47:00+00:00,alpha,3.8161723953416216,7.221646091096339,8.780371643013964
2025-09-16 10:48:00+00:00,alpha,3.867239497108591,7.31342688039686,9.35800058483496
2025-09-16 10:49:00+00:00,alpha,3.9043557709647256,7.2863161909609735,9.14411311016432
2025-09-16 10:50:00+00:00,alpha,3.9670624953833693,7.076721029124208,9.436903737019307
2025-09-16 10:51:00+00:00,alpha,4.111795519857574,7.207996137507479,8.733274349515433
2025-09-16 10:52:00+00:00,alpha,3.9486953571710144,7.304308568570556,8.680614846843088
2025-09-16 10:53:00+00:00,alpha,4.046113789270633,6.8718066783913745,8.794517825331013
