timestamp,job,allreduce_latency_ms
2025-09-16 10:26:00+00:00,job-101,6.598251988855851
2025-09-16 10:27:00+00:00,job-101,6.691214635664823
2025-09-16 10:28:00+00:00,job-101,5.560703960255297
2025-09-16 10:29:00+00:00,job-101,5.455328644583928
2025-09-16 10:30:00+00:00,job-101,6.129173434704709
2025-09-16 10:31:00+00:00,job-101,6.667948446721657
2025-09-16 10:32:00+00:00,job-101,5.789626475803462
2025-09-16 10:33:00+00:00,job-101,6.256023145509666
2025-09-16 10:34:00+00:00,job-101,6.878533577292771
2025-09-16 10:35:00+00:00,job-101,5.1002780568942265
2025-09-16 10:36:00+00:00,job-101,4.930360398101493
2025-09-16 10:37:00+00:00,job-101,5.327761240108448
2025-09-16 10:38:00+00:00,job-101,6.136742902544739
2025-09-16 10:39:00+00:00,job-101,6.688148362416392
2025-09-16 10:40:00+00:00,job-101,5.8258615029195076
2025-09-16 10:41:00+00:00,job-101,6.359763667725808
2025-09-16 10:42:00+00:00,job-101,6.687765660814158
2025-09-16 10:43:00+00:00,job-101,5.368500180467798
2025-09-16 10:44:00+00:00,job-101,6.9740659002479894
2025-09-16 10:45:00+00:00,job-101,7.13531760739068
2025-09-16 10:46:00+00:00,job-101,6.560359419748927
2025-09-16 10:47:00+00:00,job-101,6.1484585726087655
2025-09-16 10:48:00+00:00,job-101,5.908047366058216
2025-09-16 10:49:00+00:00,job-101,7.145970168350909
2025-09-16 10:50:00+00:00,job-101,6.146917669441123
2025-09-16 10:51:00+00:00,job-101,6.6485127081312365
2025-09-16 10:52:00+00:00,job-101,6.344470909393499
2025-09-16 10:53:00+00:00,job-101,5.405724415478924
2025-09-16 10:54:00+00:00,job-101,6.904154370021294
2025-09-16 10:55:00+00:00,job-101,6.1036844320171335
2025-09-16 10:56:00+00:00,job-101,5.469674004613749
2025-09-16 10:57:00+00:00,job-101,5.424924101373247
2025-09-16 10:58:00+00:00,job-101,6.789195239789025
2025-09-16 10:59:00+00:00,job-101,5.6478726014475145
2025-09-16 11:00:00+00:00,job-101,6.928354582505724
2025-09-16 11:01:00+00:00,job-101,5.579593767021411
2025-09-16 11:02:00+00:00,job-101,6.124844781022009
2025-09-16 11:03:00+00:00,job-101,6.90527025011281
2025-09-16 11:04:00+00:00,job-101,6.530812045544092
2025-09-16 11:05:00+00:00,job-101,6.90987969222616
2025-09-16 11:06:00+00:00,job-101,5.833335502398166
2025-09-16 11:07:00+00:00,job-101,6.6562440043190465
2025-09-16 11:08:00+00:00,job-101,6.172010099838486
2025-09-16 11:09:00+00:00,job-101,5.38817829514236
2025-09-16 11:10:00+00:00,job-101,5.12516792841993
2025-09-16 11:11:00+00:00,job-101,5.184368843545444
2025-09-16 11:12:00+00:00,job-101,6.107156417790593
2025-09-16 11:13:00+00:00,job-101,5.159298932380408
2025-09-16 11:14:00+00:00,job-101,5.419782493883965
2025-09-16 11:15:00+00:00,job-101,6.072131636596198
2025-09-16 11:16:00+00:00,job-101,6.264014212277839
