timestamp,fe,queue_depth
2025-09-16 10:26:00+00:00,fe-01,29.182417836666005
2025-09-16 10:27:00+00:00,fe-01,25.303012487640647
2025-09-16 10:28:00+00:00,fe-01,30.638615240596877
2025-09-16 10:29:00+00:00,fe-01,31.387357154694122
2025-09-16 10:30:00+00:00,fe-01,33.48529994856655
2025-09-16 10:31:00+00:00,fe-01,32.77927935814884
2025-09-16 10:32:00+00:00,fe-01,30.11348814852902
2025-09-16 10:33:00+00:00,fe-01,29.894815792553043
2025-09-16 10:34:00+00:00,fe-01,29.64725863618223
2025-09-16 10:35:00+00:00,fe-01,27.584050802016996
2025-09-16 10:36:00+00:00,fe-01,33.13771430881235
2025-09-16 10:37:00+00:00,fe-01,31.512942836243997
2025-09-16 10:38:00+00:00,fe-01,30.788936719909234
2025-09-16 10:39:00+00:00,fe-01,28.733808455264548
2025-09-16 10:40:00+00:00,fe-01,25.20832773964479
2025-09-16 10:41:00+00:00,fe-01,32.28456036481438
2025-09-16 10:42:00+00:00,fe-01,31.029201598601468
2025-09-16 10:43:00+00:00,fe-01,32.91375858758403
2025-09-16 10:44:00+00:00,fe-01,29.728178815518525
2025-09-16 10:45:00+00:00,fe-01,32.396279049202796
2025-09-16 10:46:00+00:00,fe-01,33.4564411912003
2025-09-16 10:47:00+00:00,fe-01,31.667319306511096
2025-09-16 10:48:00+00:00,fe-01,30.527101716177587
2025-09-16 10:49:00+00:00,fe-01,31.300791513420165
2025-09-16 10:50:00+00:00,fe-01,27.609063063573814
2025-09-16 10:51:00+00:00,fe-01,33.66225769249259
2025-09-16 10:52:00+00:00,fe-01,25.0525917075926
2025-09-16 10:53:00+00:00,fe-01,28.56865699513667
2025-09-16 10:54:00+00:00,fe-01,29.880388364849555
2025-09-16 10:55:00+00:00,fe-01,27.12871836188317
2025-09-16 10:56:00+00:00,fe-01,28.783580045688414
2025-09-16 10:57:00+00:00,fe-01,29.393449045171906
2025-09-16 10:58:00+00:00,fe-01,32.47028287696678
