timestamp,priority,pfc_pause_rx_cumulative
2025-09-16 10:26:00+00:00,0,200
2025-09-16 10:27:00+00:00,0,203
2025-09-16 10:28:00+00:00,0,204
2025-09-16 10:29:00+00:00,0,207
2025-09-16 10:30:00+00:00,0,211
2025-09-16 10:31:00+00:00,0,213
2025-09-16 10:32:00+00:00,0,218
2025-09-16 10:33:00+00:00,0,222
2025-09-16 10:34:00+00:00,0,227
2025-09-16 10:35:00+00:00,0,232
2025-09-16 10:36:00+00:00,0,234
2025-09-16 10:37:00+00:00,0,237
2025-09-16 10:38:00+00:00,0,240
2025-09-16 10:39:00+00:00,0,244
2025-09-16 10:40:00+00:00,0,247
2025-09-16 10:41:00+00:00,0,248
2025-09-16 10:42:00+00:00,0,251
2025-09-16 10:43:00+00:00,0,255
2025-09-16 10:44:00+00:00,0,257
2025-09-16 10:45:00+00:00,0,261
2025-09-16 10:46:00+00:00,0,265
2025-09-16 10:47:00+00:00,0,266
2025-09-16 10:48:00+00:00,0,269
2025-09-16 10:49:00+00:00,0,269
2025-09-16 10:50:00+00:00,0,272
2025-09-16 10:51:00+00:00,0,275
2025-09-16 10:52:00+00:00,0,278
2025-09-16 10:53:00+00:00,0,278
2025-09-16 10:54:00+00:00,0,279
2025-09-16 10:55:00+00:00,0,280
2025-09-16 10:56:00+00:00,0,285
2025-09-16 10:57:00+00:00,0,289
2025-09-16 10:58:00+00:00,0,293
2025-09-16 10:59:00+00:00,0,294
2025-09-16 11:00:00+00:00,0,299
2025-09-16 11:01:00+00:00,0,305
2025-09-16 11:02:00+00:00,0,306
2025-09-16 11:03:00+00:00,0,311
2025-09-16 11:04:00+00:00,0,315
2025-09-16 11:05:00+00:00,0,318
2025-09-16 11:06:00+00:00,0,322
2025-09-16 11:07:00+00:00,0,328
2025-09-16 11:08:00+00:00,0,331
2025-09-16 11:09:00+00:00,0,334
2025-09-16 11:10:00+00:00,0,339
2025-09-16 11:11:00+00:00,0,343
2025-09-16 11:12:00+00:00,0,346
2025-09-16 11:13:00+00:00,0,352
2025-09-16 11:14:00+00:00,0,353
2025-09-16 11:15:00+00:00,0,355
2025-09-16 11:16:00+00:00,0,356
2025-09-16 11:17:00+00:00,0,358
2025-09-16 11:18:00+00:00,0,361
2025-09-16 11:19:00+00:00,0,363
2025-09-16 11:20:00+00:00,0,366
2025-09-16 11:21:00+00:00,0,370
2025-09-16 11:22:00+00:00,0,371
2025-09-16 11:23:00+00:00,0,373
2025-09-16 11:24:00+00:00,0,377
2025-09-16 11:25:00+00:00,0,378
2025-09-16 11:26:00+00:00,0,380
2025-09-16 11:27:00+00:00,0,382
2025-09-16 11:28:00+00:00,0,385
2025-09-16 11:29:00+00:00,0,386
2025-09-16 11:30:00+00:00,0,390
2025-09-16 11:31:00+00:00,0,395
2025-09-16 11:32:00+00:00,0,397
2025-09-16 11:33:00+00:00,0,398
2025-09-16 11:34:00+00:00,0,400
2025-09-16 11:35:00+00:00,0,404
2025-09-16 11:36:00+00:00,0,406
2025-09-16 11:37:00+00:00,0,412
2025-09-16 11:38:00+00:00,0,414
2025-09-16 11:39:00+00:00,0,418
2025-09-16 11:40:00+00:00,0,419
2025-09-16 11:41:00+00:00,0,420
2025-09-16 11:42:00+00:00,0,422
2025-09-16 11:43:00+00:00,0,423
2025-09-16 11:44:00+00:00,0,426
2025-09-16 11:45:00+00:00,0,432
2025-09-16 11:46:00+00:00,0,433
2025-09-16 11:47:00+00:00,0,435
2025-09-16 11:48:00+00:00,0,439
2025-09-16 11:49:00+00:00,0,440
2025-09-16 11:50:00+00:00,0,441
2025-09-16 11:51:00+00:00,0,444
2025-09-16 11:52:00+00:00,0,446
2025-09-16 11:53:00+00:00,0,447
2025-09-16 11:54:00+00:00,0,450
2025-09-16 11:55:00+00:00,0,454
2025-09-16 11:56:00+00:00,0,462
2025-09-16 11:57:00+00:00,0,464
2025-09-16 11:58:00+00:00,0,466
2025-09-16 11:59:00+00:00,0,471
2025-09-16 12:00:00+00:00,0,472
2025-09-16 12:01:00+00:00,0,472
2025-09-16 12:02:00+00:00,0,472
2025-09-16 12:03:00+00:00,0,475
2025-09-16 12:04:00+00:00,0,480
2025-09-16 12:05:00+00:00,0,483
2025-09-16 12:06:00+00:00,0,486
2025-09-16 12:07:00+00:00,0,490
2025-09-16 12:08:00+00:00,0,490
2025-09-16 12:09:00+00:00,0,496
2025-09-16 12:10:00+00:00,0,498
2025-09-16 12:11:00+00:00,0,503
2025-09-16 12:12:00+00:00,0,505
2025-09-16 12:13:00+00:00,0,505
2025-09-16 12:14:00+00:00,0,509
2025-09-16 12:15:00+00:00,0,513
2025-09-16 12:16:00+00:00,0,515
2025-09-16 12:17:00+00:00,0,517
2025-09-16 12:18:00+00:00,0,521
2025-09-16 12:19:00+00:00,0,525
2025-09-16 12:20:00+00:00,0,529
2025-09-16 12:21:00+00:00,0,534
2025-09-16 12:22:00+00:00,0,539
2025-09-16 12:23:00+00:00,0,542
2025-09-16 12:24:00+00:00,0,546
2025-09-16 12:25:00+00:00,0,548
2025-09-16 12:26:00+00:00,0,553
2025-09-16 12:27:00+00:00,0,556
2025-09-16 12:28:00+00:00,0,556
2025-09-16 12:29:00+00:00,0,556
2025-09-16 12:30:00+00:00,0,562
2025-09-16 12:31:00+00:00,0,564
2025-09-16 12:32:00+00:00,0,568
2025-09-16 12:33:00+00:00,0,572
2025-09-16 12:34:00+00:00,0,575
2025-09-16 12:35:00+00:00,0,576
2025-09-16 12:36:00+00:00,0,576
2025-09-16 12:37:00+00:00,0,577
2025-09-16 12:38:00+00:00,0,581
2025-09-16 12:39:00+00:00,0,584
2025-09-16 12:40:00+00:00,0,588
2025-09-16 12:41:00+00:00,0,592
2025-09-16 12:42:00+00:00,0,595
2025-09-16 12:43:00+00:00,0,606
2025-09-16 12:44:00+00:00,0,608
2025-09-16 12:45:00+00:00,0,612
2025-09-16 12:46:00+00:00,0,613
2025-09-16 12:47:00+00:00,0,614
2025-09-16 12:48:00+00:00,0,618
2025-09-16 12:49:00+00:00,0,620
2025-09-16 12:50:00+00:00,0,623
2025-09-16 12:51:00+00:00,0,623
2025-09-16 12:52:00+00:00,0,625
2025-09-16 12:53:00+00:00,0,631
2025-09-16 12:54:00+00:00,0,633
2025-09-16 12:55:00+00:00,0,636
2025-09-16 12:56:00+00:00,0,637
2025-09-16 12:57:00+00:00,0,639
2025-09-16 12:58:00+00:00,0,646
2025-09-16 12:59:00+00:00,0,651
2025-09-16 13:00:00+00:00,0,653
2025-09-16 13:01:00+00:00,0,656
2025-09-16 13:02:00+00:00,0,659
2025-09-16 13:03:00+00:00,0,662
2025-09-16 13:04:00+00:00,0,663
2025-09-16 13:05:00+00:00,0,664
2025-09-16 13:06:00+00:00,0,669
2025-09-16 13:07:00+00:00,0,671
2025-09-16 13:08:00+00:00,0,671
2025-09-16 13:09:00+00:00,0,673
2025-09-16 13:10:00+00:00,0,674
2025-09-16 13:11:00+00:00,0,679
2025-09-16 13:12:00+00:00,0,681
2025-09-16 13:13:00+00:00,0,682
2025-09-16 13:14:00+00:00,0,683
2025-09-16 13:15:00+00:00,0,684
2025-09-16 13:16:00+00:00,0,689
2025-09-16 13:17:00+00:00,0,693
2025-09-16 13:18:00+00:00,0,697
2025-09-16 13:19:00+00:00,0,700
2025-09-16 13:20:00+00:00,0,702
2025-09-16 13:21:00+00:00,0,706
2025-09-16 13:22:00+00:00,0,708
2025-09-16 13:23:00+00:00,0,712
2025-09-16 13:24:00+00:00,0,716
2025-09-16 13:25:00+00:00,0,718
2025-09-16 13:26:00+00:00,0,720
2025-09-16 13:27:00+00:00,0,722
2025-09-16 13:28:00+00:00,0,724
2025-09-16 13:29:00+00:00,0,725
2025-09-16 13:30:00+00:00,0,726
2025-09-16 13:31:00+00:00,0,729
2025-09-16 13:32:00+00:00,0,735
2025-09-16 13:33:00+00:00,0,736
2025-09-16 13:34:00+00:00,0,738
2025-09-16 13:35:00+00:00,0,738
2025-09-16 13:36:00+00:00,0,740
2025-09-16 13:37:00+00:00,0,741
2025-09-16 13:38:00+00:00,0,745
2025-09-16 13:39:00+00:00,0,746
2025-09-16 13:40:00+00:00,0,747
2025-09-16 13:41:00+00:00,0,748
2025-09-16 13:42:00+00:00,0,750
2025-09-16 13:43:00+00:00,0,754
2025-09-16 13:44:00+00:00,0,757
2025-09-16 13:45:00+00:00,0,760
2025-09-16 13:46:00+00:00,0,762
2025-09-16 13:47:00+00:00,0,765
2025-09-16 13:48:00+00:00,0,769
2025-09-16 13:49:00+00:00,0,773
2025-09-16 13:50:00+00:00,0,774
2025-09-16 13:51:00+00:00,0,774
2025-09-16 13:52:00+00:00,0,778
2025-09-16 13:53:00+00:00,0,779
2025-09-16 13:54:00+00:00,0,783
2025-09-16 13:55:00+00:00,0,788
2025-09-16 13:56:00+00:00,0,788
2025-09-16 13:57:00+00:00,0,793
2025-09-16 13:58:00+00:00,0,796
2025-09-16 13:59:00+00:00,0,799
2025-09-16 14:00:00+00:00,0,803
2025-09-16 14:01:00+00:00,0,809
2025-09-16 14:02:00+00:00,0,813
2025-09-16 14:03:00+00:00,0,817
2025-09-16 14:04:00+00:00,0,821
2025-09-16 14:05:00+00:00,0,824
2025-09-16 14:06:00+00:00,0,828
2025-09-16 14:07:00+00:00,0,831
2025-09-16 14:08:00+00:00,0,834
2025-09-16 14:09:00+00:00,0,835
2025-09-16 14:10:00+00:00,0,837
2025-09-16 14:11:00+00:00,0,838
2025-09-16 14:12:00+00:00,0,840
2025-09-16 14:13:00+00:00,0,841
2025-09-16 14:14:00+00:00,0,844
2025-09-16 14:15:00+00:00,0,848
2025-09-16 14:16:00+00:00,0,850
2025-09-16 14:17:00+00:00,0,854
2025-09-16 14:18:00+00:00,0,857
2025-09-16 14:19:00+00:00,0,858
2025-09-16 14:20:00+00:00,0,858
2025-09-16 14:21:00+00:00,0,859
2025-09-16 14:22:00+00:00,0,865
2025-09-16 14:23:00+00:00,0,868
2025-09-16 14:24:00+00:00,0,868
2025-09-16 14:25:00+00:00,0,869
2025-09-16 14:26:00+00:00,0,873
2025-09-16 14:27:00+00:00,0,873
2025-09-16 14:28:00+00:00,0,875
2025-09-16 14:29:00+00:00,0,877
2025-09-16 14:30:00+00:00,0,883
2025-09-16 14:31:00+00:00,0,885
2025-09-16 14:32:00+00:00,0,887
2025-09-16 14:33:00+00:00,0,891
2025-09-16 14:34:00+00:00,0,895
2025-09-16 14:35:00+00:00,0,901
2025-09-16 14:36:00+00:00,0,903
2025-09-16 14:37:00+00:00,0,904
2025-09-16 14:38:00+00:00,0,905
2025-09-16 14:39:00+00:00,0,907
2025-09-16 14:40:00+00:00,0,908
2025-09-16 14:41:00+00:00,0,911
2025-09-16 14:42:00+00:00,0,915
2025-09-16 14:43:00+00:00,0,917
2025-09-16 14:44:00+00:00,0,919
2025-09-16 14:45:00+00:00,0,923
2025-09-16 14:46:00+00:00,0,926
2025-09-16 14:47:00+00:00,0,929
2025-09-16 14:48:00+00:00,0,931
2025-09-16 14:49:00+00:00,0,935
2025-09-16 14:50:00+00:00,0,936
2025-09-16 14:51:00+00:00,0,942
2025-09-16 14:52:00+00:00,0,947
