timestamp,fe,seq_ops,rand_ops
2025-09-16 10:26:00+00:00,fe-01,12039.751048150263,5029.060287043824
2025-09-16 10:27:00+00:00,fe-01,12230.18477661759,5693.294391102074
2025-09-16 10:28:00+00:00,fe-01,12342.37420553839,6320.834104332454
2025-09-16 10:29:00+00:00,fe-01,10346.637123622586,6239.583730837057
2025-09-16 10:30:00+00:00,fe-01,12392.161940108577,5521.549503812454
2025-09-16 10:31:00+00:00,fe-01,10851.569527786432,5598.9518857673875
2025-09-16 10:32:00+00:00,fe-01,12297.51024918306,5017.53480781123
2025-09-16 10:33:00+00:00,fe-01,11845.386896437956,5987.7934408014335
2025-09-16 10:34:00+00:00,fe-01,11027.624600061874,5148.201824901817
2025-09-16 10:35:00+00:00,fe-01,11076.642680502111,5953.340967471764
2025-09-16 10:36:00+00:00,fe-01,12260.743642345877,5667.320629010828
2025-09-16 10:37:00+00:00,fe-01,11204.23082888986,6002.440603396118
2025-09-16 10:38:00+00:00,fe-01,11148.893433939405,5468.490251873322
2025-09-16 10:39:00+00:00,fe-01,12027.005044293435,5805.900981378896
2025-09-16 10:40:00+00:00,fe-01,10348.455614299874,5633.764017713791
2025-09-16 10:41:00+00:00,fe-01,11921.557674977545,5659.523245707468
2025-09-16 10:42:00+00:00,fe-01,12069.042695251263,5284.456952827824
2025-09-16 10:43:00+00:00,fe-01,11097.048005183664,6157.586105761734
2025-09-16 10:44:00+00:00,fe-01,12222.085922422702,5963.102043397365
2025-09-16 10:45:00+00:00,fe-01,11039.313675694933,5944.179731837145
2025-09-16 10:46:00+00:00,fe-01,11087.258557024448,6211.547812129848
2025-09-16 10:47:00+00:00,fe-01,12196.977240322385,6431.060828216308
2025-09-16 10:48:00+00:00,fe-01,11073.700248673207,5735.469595217182
2025-09-16 10:49:00+00:00,fe-01,10499.115270991411,6113.885791033568
2025-09-16 10:50:00+00:00,fe-01,10231.160564773509,5808.529533870299
2025-09-16 10:51:00+00:00,fe-01,11572.922713777214,5861.452958293085
2025-09-16 10:52:00+00:00,fe-01,11772.25834742451,5556.6784536096
2025-09-16 10:53:00+00:00,fe-01,11121.115935465035,5650.595765626094
2025-09-16 10:54:00+00:00,fe-01,10865.243496641371,4979.104093358978
2025-09-16 10:55:00+00:00,fe-01,10651.162527638717,5144.398239182535
2025-09-16 10:56:00+00:00,fe-01,10720.335168411728,5728.876196362526
2025-09-16 10:57:00+00:00,fe-01,11931.47173928418,5529.8389549704025
2025-09-16 10:58:00+00:00,fe-01,12105.257533146749,5930.671744706422
2025-09-16 10:59:00+00:00,fe-01,11902.889541271552,5583.153439826707
2025-09-16 11:00:00+00:00,fe-01,10881.446879142297,4979.106470649869
