timestamp,class,ecn_mark_rate_percent
2025-09-16 10:26:00+00:00,training,0.17888940803823217
2025-09-16 10:27:00+00:00,training,0.1369904629313875
2025-09-16 10:28:00+00:00,training,0.1342913942169259
2025-09-16 10:29:00+00:00,training,0.15376195216044947
2025-09-16 10:30:00+00:00,training,0.1795543878474528
2025-09-16 10:31:00+00:00,training,0.16942965272203925
2025-09-16 10:32:00+00:00,training,0.1629716103957338
2025-09-16 10:33:00+00:00,training,0.1515321610731293
2025-09-16 10:34:00+00:00,training,0.15192501368972894
2025-09-16 10:35:00+00:00,training,0.15310070531697004
2025-09-16 10:36:00+00:00,training,0.1453163682244796
2025-09-16 10:37:00+00:00,training,0.17821216623342243
2025-09-16 10:38:00+00:00,training,0.17140531466808384
2025-09-16 10:39:00+00:00,training,0.1719081092901511
2025-09-16 10:40:00+00:00,training,0.17637808459060886
2025-09-16 10:41:00+00:00,training,0.1302478768384551
2025-09-16 10:42:00+00:00,training,0.16067990607839683
2025-09-16 10:43:00+00:00,training,0.14285221063933484
2025-09-16 10:44:00+00:00,training,0.14483219066452446
2025-09-16 10:45:00+00:00,training,0.14410382290552826
2025-09-16 10:46:00+00:00,training,0.14367476795591685
2025-09-16 10:47:00+00:00,training,0.1453396139769273
2025-09-16 10:48:00+00:00,training,0.1380882179993658
2025-09-16 10:49:00+00:00,training,0.15844879594657318
2025-09-16 10:50:00+00:00,training,0.1643648352136312
2025-09-16 10:51:00+00:00,training,0.15970850902013958
2025-09-16 10:52:00+00:00,training,0.14887052594297934
2025-09-16 10:53:00+00:00,training,0.1423002881311286
2025-09-16 10:54:00+00:00,training,0.14975111616110018
2025-09-16 10:55:00+00:00,training,0.146437586066086
2025-09-16 10:56:00+00:00,training,0.14570556239913285
2025-09-16 10:57:00+00:00,training,0.15832452487772608
2025-09-16 10:58:00+00:00,training,0.17882664970498072
2025-09-16 10:59:00+00:00,training,0.17368404698828613
2025-09-16 11:00:00+00:00,training,0.1490659402012157
2025-09-16 11:01:00+00:00,training,0.18026661176342043
2025-09-16 11:02:00+00:00,training,0.16842559943559854
2025-09-16 11:03:00+00:00,training,0.1562370786597326
2025-09-16 11:04:00+00:00,training,0.13862506368910374
2025-09-16 11:05:00+00:00,training,0.1776494671417947
2025-09-16 11:06:00+00:00,training,0.13885360607972583
2025-09-16 11:07:00+00:00,training,0.16838767021902898
2025-09-16 11:08:00+00:00,training,0.1823865741749796
2025-09-16 11:09:00+00:00,training,0.15995359232088677
2025-09-16 11:10:00+00:00,training,0.15266369840194355
2025-09-16 11:11:00+00:00,training,0.15665578567219426
2025-09-16 11:12:00+00:00,training,0.1422955940997465
2025-09-16 11:13:00+00:00,training,0.14238355064893551
2025-09-16 11:14:00+00:00,training,0.16182098797082073
2025-09-16 11:15:00+00:00,training,0.1329869355027778
2025-09-16 11:16:00+00:00,training,0.12489590426411372
